2019-04-09 14:49:59 startup archives install
2019-04-09 14:49:59 install base-passwd:arm64 <none> 3.5.44
2019-04-09 14:49:59 status half-installed base-passwd:arm64 3.5.44
2019-04-09 14:49:59 status unpacked base-passwd:arm64 3.5.44
2019-04-09 14:49:59 status unpacked base-passwd:arm64 3.5.44
2019-04-09 14:49:59 configure base-passwd:arm64 3.5.44 3.5.44
2019-04-09 14:49:59 status unpacked base-passwd:arm64 3.5.44
2019-04-09 14:49:59 status half-configured base-passwd:arm64 3.5.44
2019-04-09 14:50:00 status installed base-passwd:arm64 3.5.44
2019-04-09 14:50:00 startup archives install
2019-04-09 14:50:01 install base-files:arm64 <none> 10.1ubuntu2
2019-04-09 14:50:01 status half-installed base-files:arm64 10.1ubuntu2
2019-04-09 14:50:01 status unpacked base-files:arm64 10.1ubuntu2
2019-04-09 14:50:01 status unpacked base-files:arm64 10.1ubuntu2
2019-04-09 14:50:01 configure base-files:arm64 10.1ubuntu2 10.1ubuntu2
2019-04-09 14:50:01 status unpacked base-files:arm64 10.1ubuntu2
2019-04-09 14:50:01 status unpacked base-files:arm64 10.1ubuntu2
2019-04-09 14:50:01 status unpacked base-files:arm64 10.1ubuntu2
2019-04-09 14:50:01 status unpacked base-files:arm64 10.1ubuntu2
2019-04-09 14:50:01 status unpacked base-files:arm64 10.1ubuntu2
2019-04-09 14:50:01 status unpacked base-files:arm64 10.1ubuntu2
2019-04-09 14:50:01 status unpacked base-files:arm64 10.1ubuntu2
2019-04-09 14:50:01 status unpacked base-files:arm64 10.1ubuntu2
2019-04-09 14:50:01 status unpacked base-files:arm64 10.1ubuntu2
2019-04-09 14:50:01 status unpacked base-files:arm64 10.1ubuntu2
2019-04-09 14:50:01 status unpacked base-files:arm64 10.1ubuntu2
2019-04-09 14:50:01 status unpacked base-files:arm64 10.1ubuntu2
2019-04-09 14:50:01 status unpacked base-files:arm64 10.1ubuntu2
2019-04-09 14:50:01 status half-configured base-files:arm64 10.1ubuntu2
2019-04-09 14:50:04 status installed base-files:arm64 10.1ubuntu2
2019-04-09 14:50:04 startup archives install
2019-04-09 14:50:04 upgrade dpkg 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2019-04-09 14:50:04 status half-configured dpkg 1.19.0.5ubuntu2
2019-04-09 14:50:04 status unpacked dpkg 1.19.0.5ubuntu2
2019-04-09 14:50:04 status half-installed dpkg 1.19.0.5ubuntu2
